step,tag,value
19,Gradient norm denop,9.80644763330929e-05
20,Gradient norm denop,9.794822835829109e-05
21,Gradient norm denop,9.794169454835355e-05
22,Gradient norm denop,9.794914512895048e-05
23,Gradient norm denop,9.797859820537269e-05
24,Gradient norm denop,9.805530135054141e-05
25,Gradient norm denop,9.815286466619e-05
26,Gradient norm denop,9.829698683461174e-05
27,Gradient norm denop,9.832480282057077e-05
28,Gradient norm denop,9.837446123128757e-05
29,Gradient norm denop,9.83836071100086e-05
30,Gradient norm denop,9.831757051870227e-05
31,Gradient norm denop,9.817903628572822e-05
32,Gradient norm denop,9.804494766285643e-05
33,Gradient norm denop,9.783380664885044e-05
34,Gradient norm denop,9.760819375514984e-05
35,Gradient norm denop,9.733938350109383e-05
36,Gradient norm denop,9.709196456242353e-05
37,Gradient norm denop,9.681600204203278e-05
38,Gradient norm denop,9.650451829656959e-05
39,Gradient norm denop,9.620788478059694e-05
40,Gradient norm denop,9.59221797529608e-05
41,Gradient norm denop,9.563090861774981e-05
42,Gradient norm denop,9.533141565043479e-05
43,Gradient norm denop,9.501329623162746e-05
44,Gradient norm denop,9.470529039390385e-05
45,Gradient norm denop,9.44414859986864e-05
46,Gradient norm denop,9.415866225026548e-05
47,Gradient norm denop,9.388269972987473e-05
48,Gradient norm denop,9.36248543439433e-05
49,Gradient norm denop,9.999843314290047e-05
50,Gradient norm denop,9.972191037377343e-05
51,Gradient norm denop,9.941356256604195e-05
52,Gradient norm denop,9.913588291965425e-05
53,Gradient norm denop,9.884130849968642e-05
54,Gradient norm denop,9.855614916887134e-05
55,Gradient norm denop,9.82438723440282e-05
56,Gradient norm denop,9.792782657314092e-05
57,Gradient norm denop,9.760503598954529e-05
58,Gradient norm denop,9.729659359436482e-05
59,Gradient norm denop,9.69843749771826e-05
60,Gradient norm denop,9.666610276326537e-05
61,Gradient norm denop,9.637037146603689e-05
62,Gradient norm denop,9.606704406905919e-05
63,Gradient norm denop,9.57738229772076e-05
64,Gradient norm denop,9.549056267132983e-05
65,Gradient norm denop,9.523541666567326e-05
66,Gradient norm denop,9.497219434706494e-05
67,Gradient norm denop,9.475600381847471e-05
68,Gradient norm denop,9.453752136323601e-05
69,Gradient norm denop,9.429224883206189e-05
70,Gradient norm denop,9.407326433574781e-05
71,Gradient norm denop,9.388115722686052e-05
72,Gradient norm denop,9.368571045342833e-05
73,Gradient norm denop,9.986823715735227e-05
74,Gradient norm denop,9.96884482447058e-05
75,Gradient norm denop,9.948020306183025e-05
76,Gradient norm denop,9.927021892508492e-05
77,Gradient norm denop,9.905226033879444e-05
78,Gradient norm denop,9.883656457532197e-05
79,Gradient norm denop,9.860327554633841e-05
80,Gradient norm denop,9.836782555794343e-05
81,Gradient norm denop,9.813890210352838e-05
82,Gradient norm denop,9.791412594495341e-05
83,Gradient norm denop,9.767873416421935e-05
84,Gradient norm denop,9.746938303578645e-05
85,Gradient norm denop,9.726091957418248e-05
86,Gradient norm denop,9.704956028144807e-05
87,Gradient norm denop,9.683988173492253e-05
88,Gradient norm denop,9.66262596193701e-05
89,Gradient norm denop,9.644319652579725e-05
90,Gradient norm denop,9.622526704333723e-05
91,Gradient norm denop,9.601809870218858e-05
92,Gradient norm denop,9.582149505149573e-05
93,Gradient norm denop,9.562272316543385e-05
94,Gradient norm denop,9.543821215629578e-05
95,Gradient norm denop,9.526218491373584e-05
96,Gradient norm denop,9.508194489171728e-05
97,Gradient norm denop,9.493519610259682e-05
98,Gradient norm denop,9.478576248511672e-05
99,Gradient norm denop,9.463629976380616e-05
100,Gradient norm denop,9.451709047425538e-05
101,Gradient norm denop,9.437938570044935e-05
102,Gradient norm denop,9.999120811698958e-05
103,Gradient norm denop,9.985320502892137e-05
104,Gradient norm denop,9.97300012386404e-05
105,Gradient norm denop,9.959336603060365e-05
106,Gradient norm denop,9.947420767275617e-05
107,Gradient norm denop,9.933415276464075e-05
108,Gradient norm denop,9.920956654241309e-05
109,Gradient norm denop,9.907880303217098e-05
110,Gradient norm denop,9.894144022837281e-05
111,Gradient norm denop,9.880804282147437e-05
112,Gradient norm denop,9.868087363429368e-05
113,Gradient norm denop,9.854370000539348e-05
114,Gradient norm denop,9.840132406679913e-05
115,Gradient norm denop,9.826615860220045e-05
116,Gradient norm denop,9.814474469749257e-05
117,Gradient norm denop,9.803278953768313e-05
118,Gradient norm denop,9.793076606001705e-05
119,Gradient norm denop,9.783190034795552e-05
120,Gradient norm denop,9.77525778580457e-05
121,Gradient norm denop,9.765542927198112e-05
122,Gradient norm denop,9.75594884948805e-05
123,Gradient norm denop,9.746173600433394e-05
124,Gradient norm denop,9.73647620412521e-05
125,Gradient norm denop,9.725691052153707e-05
126,Gradient norm denop,9.713695908430964e-05
127,Gradient norm denop,9.700873488327488e-05
128,Gradient norm denop,9.691694867797196e-05
129,Gradient norm denop,9.680297807790339e-05
130,Gradient norm denop,9.670319559518248e-05
131,Gradient norm denop,9.661525837145746e-05
132,Gradient norm denop,9.654050518292934e-05
133,Gradient norm denop,9.644441888667643e-05
134,Gradient norm denop,9.635373135097325e-05
135,Gradient norm denop,9.628689440432936e-05
136,Gradient norm denop,9.622478683013469e-05
137,Gradient norm denop,9.617189061827958e-05
138,Gradient norm denop,9.611525456421077e-05
139,Gradient norm denop,9.606919775251299e-05
140,Gradient norm denop,9.60373945417814e-05
0,Gradient norm denop/dataloader_idx_0,9.837553807301447e-05
0,epoch,0.0
1,epoch,0.0
2,epoch,0.0
3,epoch,0.0
4,epoch,0.0
5,epoch,0.0
6,epoch,0.0
7,epoch,0.0
8,epoch,0.0
9,epoch,0.0
10,epoch,0.0
11,epoch,0.0
12,epoch,0.0
13,epoch,0.0
14,epoch,0.0
15,epoch,0.0
16,epoch,0.0
17,epoch,0.0
18,epoch,0.0
19,epoch,0.0
20,epoch,0.0
21,epoch,0.0
22,epoch,0.0
23,epoch,0.0
24,epoch,0.0
25,epoch,0.0
26,epoch,0.0
27,epoch,0.0
28,epoch,0.0
29,epoch,0.0
30,epoch,0.0
31,epoch,0.0
32,epoch,0.0
33,epoch,0.0
34,epoch,0.0
35,epoch,0.0
36,epoch,0.0
37,epoch,0.0
38,epoch,0.0
39,epoch,0.0
40,epoch,0.0
41,epoch,0.0
42,epoch,0.0
43,epoch,0.0
44,epoch,0.0
45,epoch,0.0
46,epoch,0.0
47,epoch,0.0
48,epoch,0.0
49,epoch,0.0
50,epoch,0.0
51,epoch,0.0
52,epoch,0.0
53,epoch,0.0
54,epoch,0.0
55,epoch,0.0
56,epoch,0.0
57,epoch,0.0
58,epoch,0.0
59,epoch,0.0
60,epoch,0.0
61,epoch,0.0
62,epoch,0.0
63,epoch,0.0
64,epoch,0.0
65,epoch,0.0
66,epoch,0.0
67,epoch,0.0
68,epoch,0.0
69,epoch,0.0
70,epoch,0.0
71,epoch,0.0
72,epoch,0.0
73,epoch,0.0
74,epoch,0.0
75,epoch,0.0
76,epoch,0.0
77,epoch,0.0
78,epoch,0.0
79,epoch,0.0
79,epoch,0.0
80,epoch,1.0
81,epoch,1.0
82,epoch,1.0
83,epoch,1.0
84,epoch,1.0
85,epoch,1.0
86,epoch,1.0
87,epoch,1.0
88,epoch,1.0
89,epoch,1.0
90,epoch,1.0
91,epoch,1.0
92,epoch,1.0
93,epoch,1.0
94,epoch,1.0
95,epoch,1.0
96,epoch,1.0
97,epoch,1.0
98,epoch,1.0
99,epoch,1.0
100,epoch,1.0
101,epoch,1.0
102,epoch,1.0
103,epoch,1.0
104,epoch,1.0
105,epoch,1.0
106,epoch,1.0
107,epoch,1.0
108,epoch,1.0
109,epoch,1.0
110,epoch,1.0
111,epoch,1.0
112,epoch,1.0
113,epoch,1.0
114,epoch,1.0
115,epoch,1.0
116,epoch,1.0
117,epoch,1.0
118,epoch,1.0
119,epoch,1.0
120,epoch,1.0
121,epoch,1.0
122,epoch,1.0
123,epoch,1.0
124,epoch,1.0
125,epoch,1.0
126,epoch,1.0
127,epoch,1.0
128,epoch,1.0
129,epoch,1.0
130,epoch,1.0
131,epoch,1.0
132,epoch,1.0
133,epoch,1.0
134,epoch,1.0
135,epoch,1.0
136,epoch,1.0
137,epoch,1.0
138,epoch,1.0
139,epoch,1.0
140,epoch,1.0
0,lr-AdamW,1.0000000116860974e-07
0,lr-AdamW,1.0000000116860974e-07
1,lr-AdamW,1.0000000116860974e-07
2,lr-AdamW,1.0000000116860974e-07
3,lr-AdamW,1.0000000116860974e-07
4,lr-AdamW,1.0000000116860974e-07
5,lr-AdamW,1.0000000116860974e-07
6,lr-AdamW,1.0000000116860974e-07
7,lr-AdamW,1.0000000116860974e-07
8,lr-AdamW,1.0000000116860974e-07
9,lr-AdamW,1.0000000116860974e-07
10,lr-AdamW,1.0000000116860974e-07
11,lr-AdamW,1.0000000116860974e-07
12,lr-AdamW,1.0000000116860974e-07
13,lr-AdamW,1.0000000116860974e-07
14,lr-AdamW,1.0000000116860974e-07
15,lr-AdamW,1.0000000116860974e-07
16,lr-AdamW,1.0000000116860974e-07
17,lr-AdamW,1.0000000116860974e-07
18,lr-AdamW,1.0000000116860974e-07
19,lr-AdamW,1.0000000116860974e-07
20,lr-AdamW,1.0000000116860974e-07
21,lr-AdamW,1.0000000116860974e-07
22,lr-AdamW,1.0000000116860974e-07
23,lr-AdamW,1.0000000116860974e-07
24,lr-AdamW,1.0000000116860974e-07
25,lr-AdamW,1.0000000116860974e-07
26,lr-AdamW,1.0000000116860974e-07
27,lr-AdamW,1.0000000116860974e-07
28,lr-AdamW,1.0000000116860974e-07
29,lr-AdamW,1.0000000116860974e-07
30,lr-AdamW,1.0000000116860974e-07
31,lr-AdamW,1.0000000116860974e-07
32,lr-AdamW,1.0000000116860974e-07
33,lr-AdamW,1.0000000116860974e-07
34,lr-AdamW,1.0000000116860974e-07
35,lr-AdamW,1.0000000116860974e-07
36,lr-AdamW,1.0000000116860974e-07
37,lr-AdamW,1.0000000116860974e-07
38,lr-AdamW,1.0000000116860974e-07
39,lr-AdamW,1.0000000116860974e-07
40,lr-AdamW,1.0000000116860974e-07
41,lr-AdamW,1.0000000116860974e-07
42,lr-AdamW,1.0000000116860974e-07
43,lr-AdamW,1.0000000116860974e-07
44,lr-AdamW,1.0000000116860974e-07
45,lr-AdamW,1.0000000116860974e-07
46,lr-AdamW,1.0000000116860974e-07
47,lr-AdamW,1.0000000116860974e-07
48,lr-AdamW,1.0000000116860974e-07
49,lr-AdamW,1.0000000116860974e-07
50,lr-AdamW,1.0000000116860974e-07
51,lr-AdamW,1.0000000116860974e-07
52,lr-AdamW,1.0000000116860974e-07
53,lr-AdamW,1.0000000116860974e-07
54,lr-AdamW,1.0000000116860974e-07
55,lr-AdamW,1.0000000116860974e-07
56,lr-AdamW,1.0000000116860974e-07
57,lr-AdamW,1.0000000116860974e-07
58,lr-AdamW,1.0000000116860974e-07
59,lr-AdamW,1.0000000116860974e-07
60,lr-AdamW,1.0000000116860974e-07
61,lr-AdamW,1.0000000116860974e-07
62,lr-AdamW,1.0000000116860974e-07
63,lr-AdamW,1.0000000116860974e-07
64,lr-AdamW,1.0000000116860974e-07
65,lr-AdamW,1.0000000116860974e-07
66,lr-AdamW,1.0000000116860974e-07
67,lr-AdamW,1.0000000116860974e-07
68,lr-AdamW,1.0000000116860974e-07
69,lr-AdamW,1.0000000116860974e-07
70,lr-AdamW,1.0000000116860974e-07
71,lr-AdamW,1.0000000116860974e-07
72,lr-AdamW,1.0000000116860974e-07
73,lr-AdamW,1.0000000116860974e-07
74,lr-AdamW,1.0000000116860974e-07
75,lr-AdamW,1.0000000116860974e-07
76,lr-AdamW,1.0000000116860974e-07
77,lr-AdamW,1.0000000116860974e-07
78,lr-AdamW,1.0000000116860974e-07
79,lr-AdamW,1.0000000116860974e-07
80,lr-AdamW,1.0000000116860974e-07
80,lr-AdamW,1.0000000116860974e-07
81,lr-AdamW,1.0000000116860974e-07
82,lr-AdamW,1.0000000116860974e-07
83,lr-AdamW,1.0000000116860974e-07
84,lr-AdamW,1.0000000116860974e-07
85,lr-AdamW,1.0000000116860974e-07
86,lr-AdamW,1.0000000116860974e-07
87,lr-AdamW,1.0000000116860974e-07
88,lr-AdamW,1.0000000116860974e-07
89,lr-AdamW,1.0000000116860974e-07
90,lr-AdamW,1.0000000116860974e-07
91,lr-AdamW,1.0000000116860974e-07
92,lr-AdamW,1.0000000116860974e-07
93,lr-AdamW,1.0000000116860974e-07
94,lr-AdamW,1.0000000116860974e-07
95,lr-AdamW,1.0000000116860974e-07
96,lr-AdamW,1.0000000116860974e-07
97,lr-AdamW,1.0000000116860974e-07
98,lr-AdamW,1.0000000116860974e-07
99,lr-AdamW,1.0000000116860974e-07
100,lr-AdamW,1.0000000116860974e-07
101,lr-AdamW,1.0000000116860974e-07
102,lr-AdamW,1.0000000116860974e-07
103,lr-AdamW,1.0000000116860974e-07
104,lr-AdamW,1.0000000116860974e-07
105,lr-AdamW,1.0000000116860974e-07
106,lr-AdamW,1.0000000116860974e-07
107,lr-AdamW,1.0000000116860974e-07
108,lr-AdamW,1.0000000116860974e-07
109,lr-AdamW,1.0000000116860974e-07
110,lr-AdamW,1.0000000116860974e-07
111,lr-AdamW,1.0000000116860974e-07
112,lr-AdamW,1.0000000116860974e-07
113,lr-AdamW,1.0000000116860974e-07
114,lr-AdamW,1.0000000116860974e-07
115,lr-AdamW,1.0000000116860974e-07
116,lr-AdamW,1.0000000116860974e-07
117,lr-AdamW,1.0000000116860974e-07
118,lr-AdamW,1.0000000116860974e-07
119,lr-AdamW,1.0000000116860974e-07
120,lr-AdamW,1.0000000116860974e-07
121,lr-AdamW,1.0000000116860974e-07
122,lr-AdamW,1.0000000116860974e-07
123,lr-AdamW,1.0000000116860974e-07
124,lr-AdamW,1.0000000116860974e-07
125,lr-AdamW,1.0000000116860974e-07
126,lr-AdamW,1.0000000116860974e-07
127,lr-AdamW,1.0000000116860974e-07
128,lr-AdamW,1.0000000116860974e-07
129,lr-AdamW,1.0000000116860974e-07
130,lr-AdamW,1.0000000116860974e-07
131,lr-AdamW,1.0000000116860974e-07
132,lr-AdamW,1.0000000116860974e-07
133,lr-AdamW,1.0000000116860974e-07
134,lr-AdamW,1.0000000116860974e-07
135,lr-AdamW,1.0000000116860974e-07
136,lr-AdamW,1.0000000116860974e-07
137,lr-AdamW,1.0000000116860974e-07
138,lr-AdamW,1.0000000116860974e-07
139,lr-AdamW,1.0000000116860974e-07
140,lr-AdamW,1.0000000116860974e-07
0,num_loops_denop,37.0
1,num_loops_denop,37.0
2,num_loops_denop,37.0
3,num_loops_denop,37.0
4,num_loops_denop,37.0
5,num_loops_denop,36.0
6,num_loops_denop,36.0
7,num_loops_denop,36.0
8,num_loops_denop,36.0
9,num_loops_denop,36.0
10,num_loops_denop,36.0
11,num_loops_denop,36.0
12,num_loops_denop,36.0
13,num_loops_denop,36.0
14,num_loops_denop,35.0
15,num_loops_denop,35.0
16,num_loops_denop,35.0
17,num_loops_denop,35.0
18,num_loops_denop,35.0
19,num_loops_denop,35.0
20,num_loops_denop,35.0
21,num_loops_denop,35.0
22,num_loops_denop,35.0
23,num_loops_denop,35.0
24,num_loops_denop,35.0
25,num_loops_denop,35.0
26,num_loops_denop,35.0
27,num_loops_denop,35.0
28,num_loops_denop,35.0
29,num_loops_denop,35.0
30,num_loops_denop,35.0
31,num_loops_denop,35.0
32,num_loops_denop,35.0
33,num_loops_denop,35.0
34,num_loops_denop,35.0
35,num_loops_denop,35.0
36,num_loops_denop,35.0
37,num_loops_denop,35.0
38,num_loops_denop,35.0
39,num_loops_denop,35.0
40,num_loops_denop,35.0
41,num_loops_denop,35.0
42,num_loops_denop,35.0
43,num_loops_denop,35.0
44,num_loops_denop,35.0
45,num_loops_denop,35.0
46,num_loops_denop,35.0
47,num_loops_denop,35.0
48,num_loops_denop,35.0
49,num_loops_denop,34.0
50,num_loops_denop,34.0
51,num_loops_denop,34.0
52,num_loops_denop,34.0
53,num_loops_denop,34.0
54,num_loops_denop,34.0
55,num_loops_denop,34.0
56,num_loops_denop,34.0
57,num_loops_denop,34.0
58,num_loops_denop,34.0
59,num_loops_denop,34.0
60,num_loops_denop,34.0
61,num_loops_denop,34.0
62,num_loops_denop,34.0
63,num_loops_denop,34.0
64,num_loops_denop,34.0
65,num_loops_denop,34.0
66,num_loops_denop,34.0
67,num_loops_denop,34.0
68,num_loops_denop,34.0
69,num_loops_denop,34.0
70,num_loops_denop,34.0
71,num_loops_denop,34.0
72,num_loops_denop,34.0
73,num_loops_denop,33.0
74,num_loops_denop,33.0
75,num_loops_denop,33.0
76,num_loops_denop,33.0
77,num_loops_denop,33.0
78,num_loops_denop,33.0
79,num_loops_denop,33.0
80,num_loops_denop,33.0
81,num_loops_denop,33.0
82,num_loops_denop,33.0
83,num_loops_denop,33.0
84,num_loops_denop,33.0
85,num_loops_denop,33.0
86,num_loops_denop,33.0
87,num_loops_denop,33.0
88,num_loops_denop,33.0
89,num_loops_denop,33.0
90,num_loops_denop,33.0
91,num_loops_denop,33.0
92,num_loops_denop,33.0
93,num_loops_denop,33.0
94,num_loops_denop,33.0
95,num_loops_denop,33.0
96,num_loops_denop,33.0
97,num_loops_denop,33.0
98,num_loops_denop,33.0
99,num_loops_denop,33.0
100,num_loops_denop,33.0
101,num_loops_denop,33.0
102,num_loops_denop,32.0
103,num_loops_denop,32.0
104,num_loops_denop,32.0
105,num_loops_denop,32.0
106,num_loops_denop,32.0
107,num_loops_denop,32.0
108,num_loops_denop,32.0
109,num_loops_denop,32.0
110,num_loops_denop,32.0
111,num_loops_denop,32.0
112,num_loops_denop,32.0
113,num_loops_denop,32.0
114,num_loops_denop,32.0
115,num_loops_denop,32.0
116,num_loops_denop,32.0
117,num_loops_denop,32.0
118,num_loops_denop,32.0
119,num_loops_denop,32.0
120,num_loops_denop,32.0
121,num_loops_denop,32.0
122,num_loops_denop,32.0
123,num_loops_denop,32.0
124,num_loops_denop,32.0
125,num_loops_denop,32.0
126,num_loops_denop,32.0
127,num_loops_denop,32.0
128,num_loops_denop,32.0
129,num_loops_denop,32.0
130,num_loops_denop,32.0
131,num_loops_denop,32.0
132,num_loops_denop,32.0
133,num_loops_denop,32.0
134,num_loops_denop,32.0
135,num_loops_denop,32.0
136,num_loops_denop,32.0
137,num_loops_denop,32.0
138,num_loops_denop,32.0
139,num_loops_denop,32.0
140,num_loops_denop,32.0
0,num_loops_denop/dataloader_idx_0,33.0
0,train_loss/implicit_loss,2.6728500301942404e-07
1,train_loss/implicit_loss,2.6483417059353087e-07
2,train_loss/implicit_loss,2.624063313305669e-07
3,train_loss/implicit_loss,2.600565949251177e-07
4,train_loss/implicit_loss,2.577424424998753e-07
5,train_loss/implicit_loss,2.5258461278099276e-07
6,train_loss/implicit_loss,2.504380915979709e-07
7,train_loss/implicit_loss,2.4833406087054755e-07
8,train_loss/implicit_loss,2.46269905801455e-07
9,train_loss/implicit_loss,2.442401410007733e-07
10,train_loss/implicit_loss,2.42245732806623e-07
11,train_loss/implicit_loss,2.402994709882478e-07
12,train_loss/implicit_loss,2.3840271978770033e-07
13,train_loss/implicit_loss,2.365525233471999e-07
14,train_loss/implicit_loss,2.3217529587782337e-07
15,train_loss/implicit_loss,2.3048710318107624e-07
16,train_loss/implicit_loss,2.2884961481395294e-07
17,train_loss/implicit_loss,2.2725953385815956e-07
18,train_loss/implicit_loss,2.2571725821762811e-07
19,train_loss/implicit_loss,2.2422329948312836e-07
20,train_loss/implicit_loss,2.227814093203051e-07
21,train_loss/implicit_loss,2.213961352026672e-07
22,train_loss/implicit_loss,2.200652602368791e-07
23,train_loss/implicit_loss,2.1879060341234435e-07
24,train_loss/implicit_loss,2.17566423543758e-07
25,train_loss/implicit_loss,2.1638805947077344e-07
26,train_loss/implicit_loss,2.1525352167373057e-07
27,train_loss/implicit_loss,2.1416144591057673e-07
28,train_loss/implicit_loss,2.1310700049070874e-07
29,train_loss/implicit_loss,2.1209507394814864e-07
30,train_loss/implicit_loss,2.1112907688802807e-07
31,train_loss/implicit_loss,2.1021577367719146e-07
32,train_loss/implicit_loss,2.0934658095939085e-07
33,train_loss/implicit_loss,2.085219534819771e-07
34,train_loss/implicit_loss,2.077368890240905e-07
35,train_loss/implicit_loss,2.0698581693068263e-07
36,train_loss/implicit_loss,2.0627044250431936e-07
37,train_loss/implicit_loss,2.055887193819217e-07
38,train_loss/implicit_loss,2.0493541796895443e-07
39,train_loss/implicit_loss,2.0430456970643718e-07
40,train_loss/implicit_loss,2.0369816411403008e-07
41,train_loss/implicit_loss,2.0312069182182313e-07
42,train_loss/implicit_loss,2.0256862853784696e-07
43,train_loss/implicit_loss,2.0204184636440914e-07
44,train_loss/implicit_loss,2.015362809970611e-07
45,train_loss/implicit_loss,2.0106051579205086e-07
46,train_loss/implicit_loss,2.0060477368133434e-07
47,train_loss/implicit_loss,2.001718399924357e-07
48,train_loss/implicit_loss,1.9976234000296245e-07
49,train_loss/implicit_loss,1.974569840967888e-07
50,train_loss/implicit_loss,1.9709023035829887e-07
51,train_loss/implicit_loss,1.9673845486067876e-07
52,train_loss/implicit_loss,1.9639398374238226e-07
53,train_loss/implicit_loss,1.9605789702836773e-07
54,train_loss/implicit_loss,1.9573138843043125e-07
55,train_loss/implicit_loss,1.9540945572771307e-07
56,train_loss/implicit_loss,1.9508919990585127e-07
57,train_loss/implicit_loss,1.9477690216263e-07
58,train_loss/implicit_loss,1.9446893873009685e-07
59,train_loss/implicit_loss,1.9415875840422814e-07
60,train_loss/implicit_loss,1.938579146099073e-07
61,train_loss/implicit_loss,1.935676579023493e-07
62,train_loss/implicit_loss,1.9328311395838682e-07
63,train_loss/implicit_loss,1.9300635756280826e-07
64,train_loss/implicit_loss,1.9273991824775294e-07
65,train_loss/implicit_loss,1.9248204807809088e-07
66,train_loss/implicit_loss,1.922325623127108e-07
67,train_loss/implicit_loss,1.9198984091417515e-07
68,train_loss/implicit_loss,1.917529175443633e-07
69,train_loss/implicit_loss,1.915217353598564e-07
70,train_loss/implicit_loss,1.9129674910800532e-07
71,train_loss/implicit_loss,1.9107787352368177e-07
72,train_loss/implicit_loss,1.9086564861936495e-07
73,train_loss/implicit_loss,1.8865046058635926e-07
74,train_loss/implicit_loss,1.8844173155230237e-07
75,train_loss/implicit_loss,1.882312403722608e-07
76,train_loss/implicit_loss,1.8802040813170606e-07
77,train_loss/implicit_loss,1.8781537391987513e-07
78,train_loss/implicit_loss,1.8761971887215623e-07
79,train_loss/implicit_loss,1.8743389773590025e-07
80,train_loss/implicit_loss,1.8725734207691858e-07
81,train_loss/implicit_loss,1.8709317828324856e-07
82,train_loss/implicit_loss,1.8694873915592325e-07
83,train_loss/implicit_loss,1.8682322888707859e-07
84,train_loss/implicit_loss,1.8671056523089646e-07
85,train_loss/implicit_loss,1.8661046397028258e-07
86,train_loss/implicit_loss,1.8651621758181136e-07
87,train_loss/implicit_loss,1.8642646182343015e-07
88,train_loss/implicit_loss,1.8634324305821792e-07
89,train_loss/implicit_loss,1.8626593600856722e-07
90,train_loss/implicit_loss,1.862008502939716e-07
91,train_loss/implicit_loss,1.8614287000673357e-07
92,train_loss/implicit_loss,1.860877318904386e-07
93,train_loss/implicit_loss,1.8603486751089804e-07
